FREQUENCY [Hz],MAG [Ω],PHASE [deg]
<segment> 49.9  # 3.251 m, 49.9 ohm resistor load
114163.099,93.2741,-2.47372
115685.339,93.2697,-2.51024
117227.877,93.2800,-2.53893
118790.983,93.2501,-2.57525
120374.931,93.2495,-2.61391
121979.999,93.2323,-2.65142
123606.469,93.2452,-2.68176
125254.626,93.2297,-2.72646
126924.760,93.2155,-2.76281
128617.163,93.2125,-2.80262
130332.132,93.1977,-2.82653
132069.969,93.1934,-2.87813
133830.977,93.1732,-2.91257
135615.467,93.1688,-2.95810
137423.751,93.1725,-3.00632
139256.147,93.1336,-3.03174
141112.976,93.1341,-3.08396
142994.563,93.1172,-3.12226
144901.239,93.1367,-3.16322
146833.339,93.0877,-3.19712
148791.201,93.1274,-3.24742
150775.169,93.0992,-3.30363
152785.591,93.0804,-3.33477
154822.820,93.0615,-3.39012
156887.214,93.0685,-3.43056
158979.133,93.0148,-3.47553
161098.946,93.0326,-3.50813
163247.025,93.0235,-3.56078
165423.745,93.0266,-3.60643
167629.490,92.9933,-3.66455
169864.646,92.9885,-3.71302
172129.606,92.9665,-3.75844
174424.766,92.9517,-3.81424
176750.530,92.9418,-3.85803
179107.305,92.9202,-3.92108
181495.505,92.9077,-3.96625
183915.550,92.8854,-4.01931
186367.863,92.8765,-4.07965
188852.874,92.8466,-4.12770
191371.021,92.8391,-4.17703
193922.745,92.8156,-4.24190
196508.493,92.8019,-4.29331
199128.719,92.7764,-4.35086
201783.883,92.7718,-4.41012
204474.450,92.7351,-4.46956
207200.894,92.7129,-4.52733
209963.691,92.6957,-4.59017
212763.328,92.6707,-4.65583
215600.294,92.6508,-4.71962
218475.089,92.6245,-4.77426
221388.215,92.6114,-4.84730
224340.185,92.5845,-4.90136
227331.517,92.5680,-4.97535
230362.734,92.5300,-5.03632
233434.369,92.5051,-5.09511
236546.962,92.4794,-5.16552
239701.057,92.4552,-5.24079
242897.209,92.4305,-5.31075
246135.978,92.4024,-5.38136
249417.932,92.3730,-5.44398
252743.648,92.3406,-5.52117
256113.708,92.3206,-5.59304
259528.705,92.2714,-5.66393
262989.236,92.2303,-5.74035
266495.911,92.2057,-5.80890
270049.342,92.1706,-5.89156
273650.155,92.1241,-5.96765
277298.981,92.0984,-6.04699
280996.460,92.0559,-6.12182
284743.241,92.0106,-6.20761
288539.981,91.9917,-6.28788
292387.347,91.9277,-6.36952
296286.012,91.8958,-6.45218
300236.663,91.8582,-6.53986
304239.991,91.8218,-6.61668
308296.699,91.7619,-6.70391
312407.498,91.7255,-6.79028
316573.111,91.6785,-6.88208
320794.268,91.6317,-6.97405
325071.709,91.5778,-7.06683
329406.185,91.5181,-7.14645
333798.456,91.4721,-7.24485
338249.294,91.4176,-7.33705
342759.479,91.3538,-7.42904
347329.802,91.2975,-7.52252
351961.066,91.2407,-7.62519
356654.082,91.1898,-7.71204
361409.675,91.1298,-7.81346
366228.678,91.0686,-7.91250
371111.937,91.0027,-8.01991
376060.309,90.9314,-8.11556
381074.663,90.8681,-8.22603
386155.877,90.7989,-8.32674
391304.844,90.7423,-8.42626
396522.466,90.6629,-8.53641
401809.660,90.5860,-8.64544
407167.353,90.5112,-8.75708
412596.485,90.4387,-8.86562
418098.008,90.3564,-8.97781
423672.889,90.2744,-9.08793
429322.104,90.1936,-9.20537
435046.645,90.0978,-9.31860
440847.517,90.0135,-9.44501
446725.737,89.9205,-9.55835
452682.336,89.8257,-9.67982
458718.361,89.7336,-9.79539
464834.869,89.6382,-9.91508
471032.934,89.5345,-10.0432
477313.644,89.4411,-10.1691
483678.100,89.3249,-10.2838
490127.419,89.2236,-10.4214
496662.733,89.1146,-10.5404
503285.188,89.0158,-10.6770
509995.946,88.8908,-10.8068
516796.185,88.7702,-10.9377
523687.097,88.6490,-11.0684
530669.892,88.5342,-11.2028
537745.796,88.4069,-11.3432
544916.048,88.2805,-11.4805
552181.909,88.1529,-11.6168
559544.651,88.0172,-11.7645
567005.568,87.8747,-11.9017
574565.968,87.7320,-12.0410
582227.177,87.5874,-12.1809
589990.541,87.4438,-12.3337
597857.420,87.2852,-12.4691
605829.195,87.1310,-12.6344
613907.266,86.9668,-12.7790
622093.049,86.8099,-12.9271
630387.980,86.6487,-13.0725
638793.515,86.4790,-13.2317
647311.129,86.2973,-13.3800
655942.315,86.1307,-13.5334
664688.590,85.9336,-13.6913
673551.486,85.7499,-13.8522
682532.559,85.5639,-14.0084
691633.385,85.3671,-14.1638
700855.561,85.1721,-14.3271
710200.704,84.9703,-14.4818
719670.454,84.7547,-14.6528
729266.474,84.5550,-14.8192
738990.445,84.3281,-14.9804
748844.076,84.1151,-15.1418
758829.093,83.8898,-15.3125
768947.250,83.6357,-15.4838
779200.322,83.4070,-15.6551
789590.107,83.1787,-15.8197
800118.429,82.9305,-15.9893
810787.134,82.6807,-16.1664
821598.094,82.4143,-16.3269
832553.207,82.1572,-16.5010
843654.395,81.8941,-16.6802
854903.605,81.6160,-16.8453
866302.810,81.3436,-17.0275
877854.012,81.0547,-17.2079
889559.236,80.7533,-17.3800
901420.537,80.4563,-17.5601
913439.995,80.1662,-17.7334
925619.719,79.8569,-17.9050
937961.847,79.5354,-18.0812
950468.544,79.2113,-18.2669
963142.003,78.8893,-18.4424
975984.450,78.5616,-18.6140
988998.136,78.2221,-18.7893
1002185.346,77.8840,-18.9618
1015548.393,77.5342,-19.1412
1029089.621,77.1806,-19.3131
1042811.407,76.8143,-19.4843
1056716.158,76.4533,-19.6642
1070806.313,76.0751,-19.8288
1085084.346,75.6880,-20.0075
1099552.760,75.3003,-20.1813
1114214.095,74.9054,-20.3459
1129070.923,74.4981,-20.5282
1144125.850,74.0911,-20.6874
1159381.518,73.6792,-20.8600
1174840.604,73.2609,-21.0267
1190505.820,72.8249,-21.1849
1206379.915,72.3854,-21.3494
1222465.673,71.9367,-21.5154
1238765.917,71.4954,-21.6626
1255283.508,71.0387,-21.8232
1272021.342,70.5672,-21.9767
1288982.357,70.0962,-22.1278
1306169.528,69.6292,-22.2765
1323585.872,69.1384,-22.4191
1341234.444,68.6475,-22.5663
1359118.340,68.1485,-22.7037
1377240.698,67.6437,-22.8368
1395604.698,67.1332,-22.9671
1414213.562,66.6151,-23.0939
1433070.555,66.0923,-23.2145
1452178.986,65.5591,-23.3380
1471542.206,65.0204,-23.4463
1491163.614,64.4760,-23.5595
1511046.651,63.9099,-23.6592
1531194.808,63.3608,-23.7536
1551611.618,62.8027,-23.8462
1572300.664,62.2253,-23.9379
1593265.575,61.6506,-24.0043
1614510.031,61.0682,-24.0849
1636037.759,60.4870,-24.1506
1657852.535,59.8906,-24.2129
1679958.187,59.2849,-24.2490
1702358.595,58.6792,-24.2960
1725057.687,58.0723,-24.3261
1748059.446,57.4517,-24.3528
1771367.910,56.8309,-24.3645
1794987.165,56.2058,-24.3668
1818921.358,55.5802,-24.3450
1843174.688,54.9431,-24.3306
1867751.409,54.2968,-24.2999
1892655.833,53.6627,-24.2558
1917892.331,53.0005,-24.1995
1943465.330,52.3548,-24.1318
1969379.317,51.6905,-24.0444
1995638.839,51.0274,-23.9394
2022248.503,50.3679,-23.8254
2049212.977,49.6999,-23.6982
2076536.994,49.0286,-23.5484
2104225.346,48.3568,-23.3848
2132282.892,47.6837,-23.1946
2160714.555,47.0091,-22.9808
2189525.323,46.3314,-22.7544
2218720.252,45.6603,-22.5046
2248304.462,44.9707,-22.2254
2278283.146,44.2972,-21.9273
2308661.563,43.6177,-21.6177
2339445.043,42.9358,-21.2648
2370638.987,42.2596,-20.8854
2402248.868,41.5880,-20.4852
2434280.232,40.9066,-20.0422
2466738.700,40.2353,-19.5665
2499629.966,39.5678,-19.0672
2532959.801,38.9056,-18.5212
2566734.052,38.2457,-17.9403
2600958.647,37.5899,-17.3224
2635639.589,36.9405,-16.6643
2670782.964,36.3044,-15.9593
2706394.937,35.6639,-15.2146
2742481.757,35.0400,-14.4220
2779049.755,34.4230,-13.5786
2816105.348,33.8150,-12.6852
2853655.036,33.2235,-11.7355
2891705.408,32.6372,-10.7258
2930263.141,32.0744,-9.66503
2969334.999,31.5279,-8.53460
3008927.837,30.9922,-7.34848
3049048.603,30.4751,-6.10537
3089704.335,29.9858,-4.79685
