FREQUENCY [Hz],MAG [ohm],PHASE [deg]
<segment> 500   # resistor
81113.08307896872,1214.0825,34.5464
86974.90026177834,1267.7173,37.9247
93260.334688322,1340.2793,41.7452
100000.0,1441.4585,46.073
107226.72220103232,1588.0984,50.9732
114975.69953977356,1811.8975,56.502
123284.67394420659,2179.6608,62.6911
132194.11484660287,2859.0481,69.5269
141747.4162926805,4421.5446,76.9286
151991.10829529332,10898.4417,84.7353
162975.08346206468,21101.7766,-87.2838
174752.8400007683,5432.9534,-79.3936
187381.74228603867,3208.6613,-71.8409
200923.3002565046,2349.6317,-64.8114
215443.46900318866,1909.0442,-58.411
231012.9700083158,1649.1592,-52.6725
247707.6355991714,1482.3451,-47.5764
265608.7782946684,1368.9384,-43.0723
284803.5868435805,1288.5201,-39.0966
305385.55088334123,1229.607,-35.5835
327454.9162877732,1185.3106,-32.4713
351119.17342151277,1151.2875,-29.7045
376493.58067924716,1124.6885,-27.2352
403701.72585965495,1103.5816,-25.0227
432876.12810830615,1086.62,-23.0322
464158.8833612782,1072.8422,-21.2349
497702.35643321136,1061.5468,-19.6061
533669.9231206313,1052.2129,-18.1254
572236.765935022,1044.4471,-16.7752
613590.7273413176,1037.9478,-15.5409
657933.2246575683,1032.4806,-14.4097
705480.2310718645,1027.8614,-13.3708
756463.3275546291,1023.9437,-12.415
811130.8307896872,1020.61,-11.534
869749.0026177834,1017.765,-10.7209
932603.3468832199,1015.3311,-9.9694
1000000.0,1013.2443,-9.274
