Frequency, Mag (ohms), Phase (deg)
961283.853107543, 1737.5343019762577, 71.96561372426329
988309.220721084, 1781.5040042561486, 71.26949004987095
1016094.37483503, 1825.448353257927, 70.57616052308866
1044660.67595534, 1869.3390701940914, 69.88627658901854
1074030.08511356, 1913.1477251719823, 69.20049915800568
1104225.18074985, 1956.8459139026186, 68.51949914961816
1135269.17607071, 2000.4054442050733, 67.84395764197046
1167185.93689474, 2043.7985306945045, 67.17456565800424
1199999.99999999, 2086.997995875814, 66.51202361877105
1233736.59198727, 2129.977475725859, 65.8570404928017
1268421.64867365, 2172.7116277376676, 65.2103326701026
1304081.83503126, 2215.1763393262477, 64.57262258907191
1340744.56568666, 2257.348934459881, 63.9446371445418
1378438.02599644, 2299.2083763849487, 63.32710590512189
1417191.19371543, 2340.7354643585254, 62.72075916795807
1457033.86127405, 2381.9130223897564, 62.126325878847624
1497996.65868193, 2422.7260781172645, 61.54453144531496
1540111.07707548, 2463.1620301131516, 60.976095469697064
1583409.49292746, 2503.210802099416, 60.42172942849814
1627925.1929372, 2542.8649827858326, 59.882134323224435
1673692.39962048, 2582.119950283085, 59.35799832659739
1720746.29761898, 2620.9739803047787, 58.849994446501306
1769123.06074931, 2659.428337640127, 58.35877822823435
1818859.87981247, 2697.4873506486542, 57.884985513674785
1869994.99118519, 2735.1584687923046, 57.429230273851445
1922567.70621508, 2772.452303472382, 56.9921025291917
1976618.44144216, 2809.3826526737535, 56.57416636944076
2032188.74967005, 2845.9665101303467, 56.175958082972585
2089321.35191069, 2882.2240599116703, 55.797984402981506
2148060.17022712, 2918.17865748595, 55.44072087591495
2208450.36149969, 2953.856798439508, 55.104610355515604
2270538.35214142, 2989.288076124121, 54.79006162404079
2334371.87378947, 3024.505129563468, 54.497448140632464
2399999.99999998, 3059.543582978091, 54.22710691546594
2467473.18397454, 3094.441978287067, 53.97933750721877
2536843.2973473, 3129.2417019168906, 53.75440114058336
2608163.67006252, 3163.9869071959383, 53.55251994000559
2681489.13137331, 3198.724433541352, 53.373876275558295
2756876.05199286, 3233.503723556325, 53.218612216839226
2834382.38743085, 3268.376739054679, 53.086829091003644
2914067.72254809, 3303.3978769196337, 52.97858714147079
2995993.31736385, 3338.6238855879415, 52.89390528445984
3080222.15415095, 3374.1137828340375, 52.832760961269834
3166818.98585492, 3409.928775412604, 52.795090085091225
3255850.38587439, 3446.1321810068903, 52.780787082079236
3347384.79924095, 3482.7893528252034, 52.78970502739047
3441492.59523796, 3519.967607091925, 52.82165587784028
3538246.12149862, 3557.7361535935165, 52.87641080374775
3637719.75962493, 3596.166029365912, 52.953700623339415
3739989.98237037, 3635.3300355474034, 53.05321634376338
3845135.41243016, 3675.30267737217, 53.17460981327181
3953236.88288432, 3716.1601072427316, 53.31749448944417
4064377.4993401, 3757.980070796064, 53.481446328411366
4178642.70382136, 3800.8418558657495, 53.66600479988292
4296120.34045423, 3844.8262442417467, 53.87067403237083
4416900.72299936, 3890.015466138791, 54.09492409232813
4541076.70428282, 3936.493157302286, 54.338192399984294
4668743.74757893, 3984.344318706348, 54.59988528347668
4799999.99999996, 4033.6552788302442, 54.87937967145534
4934946.36794908, 4084.513658535483, 55.17602492271643
5073686.59469458, 4137.008338604698, 55.48914478962142
5216327.34012503, 4191.229430043794, 55.818039510128074
5362978.26274661, 4247.268247288365, 56.161988021249655
5513752.10398572, 4305.217284493724, 56.52025028470215
5668764.77486169, 4365.170195122531, 56.89206971348411
5828135.44509617, 4427.2217750748905, 57.27667568617145
5991986.63472768, 4491.467949630551, 57.67328613390501
6160444.30830188, 4558.005764492225, 58.081110183407475
6333637.97170983, 4626.933381230994, 58.49935083798171
6511700.77174876, 4698.350077439666, 58.92720767732039
6694769.59848188, 4772.356251897938, 59.36387955615962
6882985.1904759, 4849.053435043259, 59.808567281349326
7076492.24299721, 4928.544305024972, 60.26047624681008
7275439.51924984, 5010.932709596488, 60.7188190061115
7479979.96474072, 5096.323694071535, 61.18281776302579
7690270.82486029, 5184.823535537058, 61.65170676137839
7906473.76576862, 5276.53978347815, 62.12473455680309
8128754.99868018, 5371.581306930185, 62.60116615457887
8357285.4076427, 5470.0583482311595, 63.08028499954424
8592240.68090844, 5572.082583405155, 63.5613948060986
