FREQUENCY [Hz],MAG [O],PHASE [deg]
<segment> 1/(j*w*.2e-12)     # .2 pF load (open)
2165103.798,3106.61,2.82651
2206639.037,3107.56,1.88376
2248971.086,3105.7,0.936528
2292115.23,3101.67,-0.00140995
2336087.05,3096.03,-0.927645
2380902.422,3089.61,-1.85683
2426577.531,3081.48,-2.78236
2473128.868,3071.58,-3.70018
2520573.244,3059.93,-4.60797
2568927.79,3046.72,-5.50378
2618209.967,3032.17,-6.37994
2668437.571,3016.35,-7.21764
2719628.739,3001.98,-8.04059
2771801.955,2986.35,-8.90382
2824976.06,2967.94,-9.75632
2879170.254,2948.04,-10.5802
2934404.107,2927,-11.3827
2990697.562,2905.33,-12.1635
3048070.949,2883.12,-12.9226
3106544.984,2860.04,-13.6676
3166140.781,2836.19,-14.3913
3226879.862,2811.77,-15.0945
3288784.157,2786.57,-15.7789
3351876.022,2761.08,-16.4384
3416178.237,2735.15,-17.0721
3481714.023,2709.06,-17.6828
3548507.044,2682.8,-18.269
3616581.419,2656.43,-18.839
3685961.729,2629.67,-19.3853
3756673.027,2603.23,-19.9097
3828740.847,2576.19,-20.409
3902191.213,2549.1,-20.8737
3977050.646,2523.47,-21.2871
4053346.179,2498.38,-21.706
4131105.362,2473.52,-22.1559
4210356.272,2448.39,-22.5656
4291127.528,2423.5,-22.9559
4373448.296,2400.1,-23.3273
4457348.301,2374.95,-23.6872
4542857.839,2351.04,-24.0285
4630007.788,2328.33,-24.3458
4718829.616,2305.18,-24.6601
4809355.399,2282.94,-24.9513
4901617.823,2260.3,-25.2404
4995650.204,2237.69,-25.5045
5091486.498,2217.04,-25.7241
5189161.311,2196.76,-25.9705
5288709.912,2177.17,-26.2069
5390168.248,2158.09,-26.4399
5493572.956,2138.74,-26.6595
5598961.374,2120.02,-26.889
5706371.558,2101.38,-27.0947
5815842.293,2083.4,-27.3046
5927413.11,2065.98,-27.5099
6041124.295,2048.49,-27.7143
6157016.91,2031.39,-27.9208
6275132.802,2014.23,-28.1039
6395514.624,1997.69,-28.2765
6518205.844,1982.29,-28.4713
6643250.766,1966.49,-28.6593
6770694.544,1951.12,-28.8505
6900583.196,1936.21,-29.0243
7032963.626,1921.36,-29.2231
7167883.635,1906.27,-29.4202
7305391.942,1891.71,-29.6018
7445538.201,1876.45,-29.8041
7588373.019,1862.57,-29.9809
7733947.973,1848.3,-30.1614
7882315.629,1834,-30.3521
8033529.563,1820.23,-30.545
8187644.376,1806.43,-30.7143
8344715.721,1792.64,-30.9034
8504800.314,1778.69,-31.0717
8667955.961,1764.92,-31.2627
8834241.578,1751.12,-31.4493
9003717.209,1737.56,-31.6123
9176444.052,1723.74,-31.8025
9352484.478,1710.56,-31.9998
9531902.055,1697.01,-32.1632
9714761.568,1683.56,-32.3564
9901129.05,1670.33,-32.5358
10091071.795,1656.74,-32.7446
10284658.392,1644.16,-32.9933
10481958.744,1631.2,-33.233
10683044.096,1618.38,-33.468
10887987.059,1604.98,-33.7127
11096861.637,1591.84,-33.9146
11309743.254,1578.75,-34.0992
11526708.781,1565.24,-34.3048
11747836.564,1552.52,-34.5011
11973206.45,1539.21,-34.6879
12202899.82,1525.88,-34.9005
12436999.616,1512.42,-35.0994
12675590.371,1499.28,-35.2855
12918758.238,1485.74,-35.472
13166591.025,1472.54,-35.661
13419178.223,1459.22,-35.8523
13676611.041,1446.13,-36.0368
13938982.437,1433.16,-36.2123
14206387.151,1419.75,-36.4025
14478921.744,1406.73,-36.5908
14756684.627,1393.37,-36.7615
15039776.098,1380.22,-36.948
15328298.381,1366.99,-37.1197
15622355.661,1353.6,-37.2797
15922054.121,1340.41,-37.4445
16227501.98,1327.42,-37.6124
16538809.534,1313.84,-37.776
16856089.197,1300.72,-37.9357
17179455.537,1287.58,-38.0801
17509025.319,1274.31,-38.242
17844917.551,1261.19,-38.3784
18187253.522,1248.15,-38.5154
18536156.849,1234.67,-38.6604
18891753.519,1221.19,-38.7931
19254171.937,1207.77,-38.931
19623542.971,1194.77,-39.0551
20000000,1181.62,-39.1735
<segment> 5e-3     # 5 mOhm load (short)
10000,0.218545,83.5629
10191.839,0.224303,83.555
10387.359,0.227941,83.4562
10586.63,0.231077,83.6508
10789.723,0.236112,83.6766
10996.713,0.240138,83.774
11207.673,0.244581,83.9373
11422.68,0.249589,83.8798
11641.812,0.253613,83.9246
11865.148,0.258665,84.0974
12092.769,0.263856,84.1983
12324.756,0.268646,84.4681
12561.193,0.274151,84.3999
12802.167,0.279155,84.3727
13047.763,0.283796,84.5623
13298.07,0.289234,84.6797
13553.18,0.294448,84.6839
13813.183,0.300646,84.7533
14078.175,0.306353,84.8935
14348.25,0.311091,85.074
14623.506,0.317826,85.0777
14904.042,0.324186,85.2038
15189.961,0.330445,85.255
15481.364,0.336231,85.1982
15778.358,0.343148,85.508
16081.049,0.348836,85.4182
16389.547,0.355886,85.3437
16703.963,0.362941,85.4636
17024.411,0.368761,85.6814
17351.007,0.375903,85.6718
17683.867,0.384663,85.6606
18023.114,0.391057,85.7783
18368.868,0.398791,85.8434
18721.256,0.40529,85.8128
19080.403,0.413365,85.8174
19446.441,0.422034,85.7927
19819.5,0.429613,85.8764
20199.717,0.437218,86.0221
20587.227,0.44491,86.0372
20982.171,0.454555,86.1036
21384.692,0.462394,86.2151
21794.935,0.471456,86.2082
22213.048,0.479732,86.2171
22639.182,0.489404,86.2211
23073.491,0.498717,86.3662
23516.131,0.508332,86.4603
23967.263,0.517539,86.4414
24427.05,0.528194,86.474
24895.657,0.537692,86.5576
25373.254,0.548356,86.5006
25860.014,0.558494,86.601
26356.111,0.569524,86.6014
26861.725,0.579455,86.4554
27377.039,0.589987,86.5844
27902.239,0.601925,86.6558
28437.514,0.612841,86.6694
28983.058,0.624505,86.8156
