FREQUENCY [Hz],MAG [Ω],PHASE [deg]
5706771.638,25.6005,-80.7891
5792894.832,25.1462,-80.8957
5880317.747,24.6959,-81.0021
5969059.996,24.2502,-81.102
6059141.49,23.8118,-81.2042
6150582.441,23.3766,-81.3008
6243403.363,22.9442,-81.3987
6337625.084,22.5226,-81.4903
6433268.743,22.1017,-81.5796
6530355.799,21.684,-81.6743
6628908.035,21.2742,-81.7553
6728947.562,20.8657,-81.8425
6830496.826,20.463,-81.9267
6933578.612,20.0647,-82.0015
7038216.046,19.6718,-82.0831
7144432.605,19.2814,-82.1576
7252252.122,18.8963,-82.2337
7361698.787,18.5137,-82.3002
7472797.155,18.1361,-82.3681
7585572.154,17.7612,-82.4362
7700049.086,17.3902,-82.5005
7816253.636,17.0252,-82.5623
7934211.875,16.6623,-82.6171
8053950.269,16.3018,-82.6779
8175495.684,15.9478,-82.7394
8298875.39,15.5943,-82.7797
8424117.069,15.2463,-82.8307
8551248.821,14.8989,-82.8767
8680299.169,14.5567,-82.917
8811297.069,14.2175,-82.9692
8944271.91,13.8804,-83.0074
9079253.528,13.5454,-83.0361
9216272.209,13.218,-83.0749
9355358.694,12.8884,-83.1048
9496544.189,12.5622,-83.1294
9639860.371,12.2408,-83.1531
9785339.396,11.9224,-83.1622
9933013.903,11.605,-83.1837
10082917.026,11.2906,-83.1909
10235082.398,10.9781,-83.1945
10389544.158,10.6687,-83.2059
10546336.964,10.3611,-83.2028
10705495.992,10.0548,-83.1801
10867056.955,9.75375,-83.1755
11031056.098,9.45209,-83.1479
11197530.219,9.15597,-83.1338
11366516.669,8.86044,-83.0909
11538053.361,8.56507,-83.0564
11712178.782,8.27259,-83.0094
11888932,7.98128,-82.9532
12068352.673,7.69232,-82.8848
12250481.056,7.40457,-82.8098
12435358.011,7.11848,-82.7223
12623025.019,6.83454,-82.6191
12813524.186,6.55237,-82.5056
13006898.252,6.27125,-82.3731
13203190.605,5.99081,-82.229
13402445.285,5.71261,-82.0581
13604706.998,5.43612,-81.8629
13810021.124,5.16088,-81.6416
14018433.728,4.88602,-81.4084
14229991.571,4.6136,-81.1176
14444742.118,4.34202,-80.793
14662733.553,4.07056,-80.4284
14884014.785,3.80145,-79.9936
15108635.461,3.5345,-79.4731
15336645.979,3.26618,-78.8793
15568097.495,3.00143,-78.154
15803041.939,2.7355,-77.2837
16041532.025,2.47287,-76.2651
16283621.261,2.21119,-74.9473
16529363.964,1.95175,-73.2876
16778815.269,1.69436,-71.133
17032031.144,1.44142,-68.1328
17289068.402,1.19418,-63.9041
17549984.714,0.956906,-57.4529
17814838.618,0.740595,-47.1723
18083689.54,0.567422,-29.4489
18356597.8,0.483737,-1.59471
18633624.628,0.536538,27.8421
18914832.18,0.694513,48.0007
19200283.549,0.903909,59.659
19490042.779,1.13744,66.7655
19784174.884,1.38364,71.4064
20082745.854,1.63625,74.6503
20385822.68,1.89257,76.9995
20693473.36,2.15162,78.7865
21005766.921,2.41292,80.1636
21322773.43,2.67425,81.2828
21644564.012,2.93799,82.1932
21971210.866,3.20429,82.9406
22302787.28,3.47187,83.5835
22639367.647,3.74143,84.1078
22981027.484,4.01047,84.5642
23327843.447,4.28086,84.9676
23679893.351,4.55314,85.3317
24037256.182,4.8257,85.6402
24400012.119,5.09971,85.8931
24768242.553,5.37465,86.1345
25142030.101,5.65141,86.3595
25521458.627,5.93132,86.5552
25906613.263,6.2098,86.7323
26297580.423,6.49272,86.8868
26694447.826,6.77499,87.0378
27097304.515,7.05868,87.1709
27506240.877,7.34567,87.2966
27921348.663,7.63269,87.4051
28342721.008,7.92193,87.5085
28770452.454,8.21308,87.6103
29204638.967,8.50441,87.6932
29645377.964,8.80089,87.778
30092768.332,9.09657,87.8473
30546910.448,9.39656,87.9309
31007906.206,9.69863,88.0034
31475859.037,10.0007,88.0585
31950873.933,10.3069,88.1114
32433057.471,10.6152,88.1605
32922517.835,10.9235,88.205
33419364.843,11.2382,88.2541
33923709.97,11.5524,88.3026
34435666.373,11.8703,88.3466
34955348.917,12.1911,88.3854
35482874.2,12.5118,88.4152
36018360.58,12.8379,88.453
36561928.2,13.1663,88.4875
37113699.02,13.4976,88.5245
37673796.835,13.834,88.555
38242347.313,14.1692,88.5722
38819478.016,14.5127,88.5962
39405318.431,14.8593,88.612
40000000,15.2081,88.6233
